File accession,File format,File type,File format type,Output type,File assembly,Experiment accession,Assay,Donor(s),Biosample term id,Biosample term name,Biosample type,Biosample organism,Biosample treatments,Biosample treatments amount,Biosample treatments duration,Biosample genetic modifications methods,Biosample genetic modifications categories,Biosample genetic modifications targets,Biosample genetic modifications gene targets,Biosample genetic modifications site coordinates,Biosample genetic modifications zygosity,Experiment target,Library made from,Library depleted in,Library extraction method,Library lysis method,Library crosslinking method,Library strand specific,Experiment date released,Project,RBNS protein concentration,Library fragmentation method,Library size range,Biological replicate(s),Technical replicate(s),Read length,Mapped read length,Run type,Paired end,Paired with,Index of,Derived from,Size,Lab,md5sum,dbxrefs,File download URL,Genome annotation,Platform,Controlled by,File Status,s3_uri,File analysis title,File analysis status,Audit WARNING,Audit NOT_COMPLIANT,Audit ERROR
ENCFF563FDS,fastq,fastq,,reads,,ENCSR713OCQ,polyA plus RNA-seq,/mouse-donors/ENCDO072AAA/,UBERON:0002369,adrenal gland,tissue,Mus musculus,,,,,,,,,,,polyadenylated mRNA,,RNeasy Lipid Tissue Mini Kit (QIAGEN cat#74804),,,reverse,08/12/2014,ENCODE,,chemical (Illumina TruSeq),350-450,1,1_1,100,,paired-ended,1,/files/ENCFF470ULL/,,,2752193957,"Michael Snyder, Stanford",92ef3c52c0bf7fbf1e7ee2ea8f4954a3,SRA:SRR5171111,https://www.encodeproject.org/files/ENCFF563FDS/@@download/ENCFF563FDS.fastq.gz,,Illumina HiSeq 2000,,released,s3://encode-public/2014/12/03/9deae421-bf17-4082-b894-443c12551d77/ENCFF563FDS.fastq.gz,,,"low replicate concordance, low read depth",,
ENCFF470ULL,fastq,fastq,,reads,,ENCSR713OCQ,polyA plus RNA-seq,/mouse-donors/ENCDO072AAA/,UBERON:0002369,adrenal gland,tissue,Mus musculus,,,,,,,,,,,polyadenylated mRNA,,RNeasy Lipid Tissue Mini Kit (QIAGEN cat#74804),,,reverse,08/12/2014,ENCODE,,chemical (Illumina TruSeq),350-450,1,1_1,100,,paired-ended,2,/files/ENCFF563FDS/,,,2693779762,"Michael Snyder, Stanford",8f913c0e622fab8bd03044700a7ac166,SRA:SRR5171111,https://www.encodeproject.org/files/ENCFF470ULL/@@download/ENCFF470ULL.fastq.gz,,Illumina HiSeq 2000,,released,s3://encode-public/2014/12/03/39918196-c838-4e2b-8457-d84aa241a1bf/ENCFF470ULL.fastq.gz,,,"low replicate concordance, low read depth",,
ENCFF307YNT,fastq,fastq,,reads,,ENCSR713OCQ,polyA plus RNA-seq,/mouse-donors/ENCDO072AAA/,UBERON:0002369,adrenal gland,tissue,Mus musculus,,,,,,,,,,,polyadenylated mRNA,,RNeasy Lipid Tissue Mini Kit (QIAGEN cat#74804),,,reverse,08/12/2014,ENCODE,,chemical (Illumina TruSeq),350-450,1,1_2,101,,paired-ended,1,/files/ENCFF731TMT/,,,1674844845,"Michael Snyder, Stanford",a74055e4317f4574769e6a06fb7c5033,SRA:SRR5171112,https://www.encodeproject.org/files/ENCFF307YNT/@@download/ENCFF307YNT.fastq.gz,,Illumina HiSeq 2500,,released,s3://encode-public/2015/05/27/78e2d070-e179-4580-987b-c3829a2c2c26/ENCFF307YNT.fastq.gz,,,"low replicate concordance, low read depth",,
ENCFF731TMT,fastq,fastq,,reads,,ENCSR713OCQ,polyA plus RNA-seq,/mouse-donors/ENCDO072AAA/,UBERON:0002369,adrenal gland,tissue,Mus musculus,,,,,,,,,,,polyadenylated mRNA,,RNeasy Lipid Tissue Mini Kit (QIAGEN cat#74804),,,reverse,08/12/2014,ENCODE,,chemical (Illumina TruSeq),350-450,1,1_2,101,,paired-ended,2,/files/ENCFF307YNT/,,,1693328218,"Michael Snyder, Stanford",6b9ce3c265e4b4df0753d51dc9456b39,SRA:SRR5171112,https://www.encodeproject.org/files/ENCFF731TMT/@@download/ENCFF731TMT.fastq.gz,,Illumina HiSeq 2500,,released,s3://encode-public/2015/05/27/39efbb0d-12f3-47cc-b7cf-e6afbee04976/ENCFF731TMT.fastq.gz,,,"low replicate concordance, low read depth",,
ENCFF001IYI,fastq,fastq,,reads,,ENCSR000BZA,polyA plus RNA-seq,/mouse-donors/ENCDO072AAA/,UBERON:0000059,large intestine,tissue,Mus musculus,,,,,,,,,,,polyadenylated mRNA,rRNA,,,,reverse,29/02/2012,ENCODE,,see document,>200,1,1_1,76,,paired-ended,1,/files/ENCFF001IYM/,,,2686415067,"Thomas Gingeras, CSHL",9f248768c315e6b699364503afaf215f,SRA:SRR5047977,https://www.encodeproject.org/files/ENCFF001IYI/@@download/ENCFF001IYI.fastq.gz,,Illumina Genome Analyzer IIx,,released,s3://encode-public/2012/07/30/764cbb72-b978-45a1-8c2f-720c78b37a14/ENCFF001IYI.fastq.gz,,,,,
ENCFF001IYK,fastq,fastq,,reads,,ENCSR000BZA,polyA plus RNA-seq,/mouse-donors/ENCDO072AAA/,UBERON:0000059,large intestine,tissue,Mus musculus,,,,,,,,,,,polyadenylated mRNA,rRNA,,,,reverse,29/02/2012,ENCODE,,see document,>200,2,2_1,76,,paired-ended,1,/files/ENCFF001IYO/,,,2991394608,"Thomas Gingeras, CSHL",cd3e68a4df811fc6235be978f137a28b,SRA:SRR5047975,https://www.encodeproject.org/files/ENCFF001IYK/@@download/ENCFF001IYK.fastq.gz,,Illumina Genome Analyzer IIx,,released,s3://encode-public/2012/07/30/eb2a9584-8b92-4b7a-b9ee-f72f3b089be6/ENCFF001IYK.fastq.gz,,,,,
ENCFF001IYM,fastq,fastq,,reads,,ENCSR000BZA,polyA plus RNA-seq,/mouse-donors/ENCDO072AAA/,UBERON:0000059,large intestine,tissue,Mus musculus,,,,,,,,,,,polyadenylated mRNA,rRNA,,,,reverse,29/02/2012,ENCODE,,see document,>200,1,1_1,76,,paired-ended,2,/files/ENCFF001IYI/,,,2884263640,"Thomas Gingeras, CSHL",8be2d5db65173aa4b6a639173023f894,SRA:SRR5047977,https://www.encodeproject.org/files/ENCFF001IYM/@@download/ENCFF001IYM.fastq.gz,,Illumina Genome Analyzer IIx,,released,s3://encode-public/2012/07/30/158930e7-19b8-49e3-9e7e-ce388391368a/ENCFF001IYM.fastq.gz,,,,,
ENCFF001IYO,fastq,fastq,,reads,,ENCSR000BZA,polyA plus RNA-seq,/mouse-donors/ENCDO072AAA/,UBERON:0000059,large intestine,tissue,Mus musculus,,,,,,,,,,,polyadenylated mRNA,rRNA,,,,reverse,29/02/2012,ENCODE,,see document,>200,2,2_1,76,,paired-ended,2,/files/ENCFF001IYK/,,,3129063317,"Thomas Gingeras, CSHL",bbf7b2b683d6d38a1719d270418b8e4e,SRA:SRR5047975,https://www.encodeproject.org/files/ENCFF001IYO/@@download/ENCFF001IYO.fastq.gz,,Illumina Genome Analyzer IIx,,released,s3://encode-public/2012/07/30/a763c37e-4267-48d2-b0db-b0f3520ce9b8/ENCFF001IYO.fastq.gz,,,,,
ENCFF001IYJ,fastq,fastq,,reads,,ENCSR000BZA,polyA plus RNA-seq,/mouse-donors/ENCDO072AAA/,UBERON:0000059,large intestine,tissue,Mus musculus,,,,,,,,,,,polyadenylated mRNA,rRNA,,,,reverse,29/02/2012,ENCODE,,see document,>200,1,1_1,76,,paired-ended,1,/files/ENCFF001IYN/,,,2633038980,"Thomas Gingeras, CSHL",bdbe0320a70d6875b06622a7f4680a77,SRA:SRR5047978,https://www.encodeproject.org/files/ENCFF001IYJ/@@download/ENCFF001IYJ.fastq.gz,,Illumina Genome Analyzer IIx,,released,s3://encode-public/2012/07/30/eb28d635-34dd-4bba-a472-31042908bedd/ENCFF001IYJ.fastq.gz,,,,,
ENCFF001IYL,fastq,fastq,,reads,,ENCSR000BZA,polyA plus RNA-seq,/mouse-donors/ENCDO072AAA/,UBERON:0000059,large intestine,tissue,Mus musculus,,,,,,,,,,,polyadenylated mRNA,rRNA,,,,reverse,29/02/2012,ENCODE,,see document,>200,2,2_1,76,,paired-ended,1,/files/ENCFF001IYP/,,,2842453299,"Thomas Gingeras, CSHL",8b94c14985abaed4b0d8089123ff4639,SRA:SRR5047976,https://www.encodeproject.org/files/ENCFF001IYL/@@download/ENCFF001IYL.fastq.gz,,Illumina Genome Analyzer IIx,,released,s3://encode-public/2012/07/30/2aff2ba3-d83d-486d-ac58-0a0db356508b/ENCFF001IYL.fastq.gz,,,,,
