pairid,geneChr_Nested,geneStart_Nested,geneEnd_Nested,ENST_Nested,SYMBOL_Nested,biotype_Nested,tau_value_nested,geneChr_Host,geneStart_Host,geneEnd_Host,ENST_Host,SYMBOL_Host,biotype_Host,tau_value_host,spearman_correlation
1_ID,chr17,87362238,87364462,ENSMUST00000159031.1,0610012D04Rik,antisense,0.9194,chr17,87282885,87381769,ENSMUST00000041110.11,Ttc7,protein_coding,0.7767,-0.340024056
2_ID,chr18,25713769,25719147,ENSMUST00000224766.1,0710001A04Rik,antisense,0.9601,chr18,25477631,25753983,ENSMUST00000115816.2,Celf4,protein_coding,0.9337,0.628244523
3_ID,chr11,87701395,87705331,ENSMUST00000137077.1,1110028F11Rik,sense_intronic,0.9012,chr11,87663086,87735538,ENSMUST00000165679.7,Rnf43,protein_coding,0.9115,0.467618462
4_ID,chr13,33936031,33960181,ENSMUST00000181800.1,1110046J04Rik,antisense,0.8171,chr13,33917917,34002794,ENSMUST00000076532.13,Serpinb6a,protein_coding,0.8998,0.126664508
5_ID,chr8,120608800,120647632,ENSMUST00000180677.1,1190005I06Rik,protein_coding,0.9893,chr8,119910840,124345722,ENSMUST00000127664.1,Galnt2l,protein_coding,0.7074,0.04866071
6_ID,chr7,132874738,132931197,ENSMUST00000209767.1,1500002F19Rik,processed_transcript,0.6332,chr7,130162450,133123350,ENSMUST00000124096.7,Fgfr2,protein_coding,0.9003,-0.162337662
7_ID,chr5,24985841,24998168,ENSMUST00000075081.6,1500035N22Rik,lincRNA,0.8499,chr5,24862743,25100642,ENSMUST00000030784.13,Prkag2,protein_coding,0.9333,0.217165333
8_ID,chr1,158967700,158980463,ENSMUST00000062159.8,1600012P17Rik,lincRNA,0.9196,chr1,158958126,158980490,ENSMUST00000159892.1,Pappa2,protein_coding,0.9638,0.276719175
9_ID,chr8,61281521,61288872,ENSMUST00000188654.1,1700001D01Rik,antisense,0.885,chr8,61223871,61396071,ENSMUST00000034060.6,Sh3rf1,protein_coding,0.6379,0.454244576
11_ID,chr7,116081758,116093159,ENSMUST00000140689.7,1700003G18Rik,processed_transcript,0.9735,chr7,116039711,116103316,ENSMUST00000205450.1,1110004F10Rik,protein_coding,0.6605,0.448093019
12_ID,chr16,12811389,12848653,ENSMUST00000190074.1,1700003L19Rik,lincRNA,0.9534,chr16,12629083,12945935,ENSMUST00000230696.1,4930414F18Rik,lincRNA,0.9505,0.33137964
13_ID,chr18,76014210,76015677,ENSMUST00000238127.1,1700003O11Rik,antisense,0.9919,chr18,75820177,76148564,ENSMUST00000058997.14,Zbtb7c,protein_coding,0.7871,0.173880883
14_ID,chr14,119749224,119751564,ENSMUST00000188582.1,1700006F04Rik,sense_intronic,0.9483,chr14,119138340,119869815,ENSMUST00000065904.4,Hs6st3,protein_coding,0.9419,0.502034777
15_ID,chr10,120364157,120384336,ENSMUST00000160091.7,1700006J14Rik,antisense,0.9498,chr10,120361274,120476469,ENSMUST00000072777.13,Hmga2,protein_coding,0.7178,0.175896699
16_ID,chr3,58141706,58163807,ENSMUST00000188418.1,1700007F19Rik,lincRNA,0.9562,chr3,58117052,58165073,ENSMUST00000197200.1,4921539H07Rik,lincRNA,0.9429,0.728021978
17_ID,chr11,59725916,59740154,ENSMUST00000153431.1,1700007J10Rik,processed_transcript,0.9052,chr11,59662494,59780860,ENSMUST00000072031.12,Mprip,protein_coding,0.6964,0.106493506
18_ID,chr2,171234008,171238991,ENSMUST00000129075.1,1700007M16Rik,lincRNA,0.9055,chr2,171193268,171269200,ENSMUST00000125631.7,Gm14266,lincRNA,0.9723,0.540387299
19_ID,chr1,187125137,187127852,ENSMUST00000160380.2,1700007P06Rik,antisense,0.9532,chr1,187044647,187215465,ENSMUST00000183819.7,Spata17,protein_coding,0.9467,0.456621879
20_ID,chr5,121835194,121835828,ENSMUST00000198145.1,1700008B11Rik,antisense,0.9843,chr5,121815487,121836825,ENSMUST00000136960.7,Sh2b3,protein_coding,0.7167,0.73371021
21_ID,chrX,95732585,95733265,ENSMUST00000096366.5,1700010D01Rik,lincRNA,0.9604,chrX,95711677,95924758,ENSMUST00000150123.7,Zc3h12b,protein_coding,0.8657,-0.006520507
22_ID,chr15,64314496,64316076,ENSMUST00000226773.1,1700010G06Rik,antisense,0.9631,chr15,64088538,64382919,ENSMUST00000177374.7,Asap1,protein_coding,0.9035,0.017584499
23_ID,chr5,98553628,98566926,ENSMUST00000189748.1,1700010H22Rik,lincRNA,0.9679,chr5,98329303,98802019,ENSMUST00000080333.7,Cfap299,protein_coding,0.949,0.480050876
24_ID,chr16,66657117,66664626,ENSMUST00000174502.1,1700010K23Rik,antisense,0.9676,chr16,66655420,67620908,ENSMUST00000114292.7,Cadm2,protein_coding,0.9756,0.542448907
25_ID,chr3,153296503,153298649,ENSMUST00000197231.1,1700012D16Rik,sense_intronic,0.9681,chr3,153198265,153725174,ENSMUST00000200397.4,St6galnac3,protein_coding,0.5681,0.286829148
26_ID,chr13,59740841,59744917,ENSMUST00000180139.2,1700014D04Rik,protein_coding,0.9663,chr13,59726723,59750140,ENSMUST00000224724.1,Gm46419,lincRNA,0.9853,0.542618128
27_ID,chr3,153467215,153478210,ENSMUST00000197297.1,1700015C17Rik,sense_intronic,0.9499,chr3,153198265,153725174,ENSMUST00000200397.4,St6galnac3,protein_coding,0.5681,0.165553568
28_ID,chr15,53621654,53623270,ENSMUST00000227291.1,1700015H07Rik,antisense,0.9732,chr15,53453809,53902530,ENSMUST00000078673.13,Samd12,protein_coding,0.8666,-0.198045389
29_ID,chr17,66714453,66720485,ENSMUST00000224424.1,1700016K05Rik,antisense,0.9607,chr17,66666946,67354073,ENSMUST00000037974.9,Ptprm,protein_coding,0.7977,-0.04909652
30_ID,chr5,77465487,77468851,ENSMUST00000201654.1,1700017L05Rik,lincRNA,0.9952,chr5,77434033,77473219,ENSMUST00000201510.1,Gm34728,lincRNA,0.9857,0.743294146
31_ID,chr6,126822376,126825177,ENSMUST00000201350.1,1700018A23Rik,antisense,0.9343,chr6,126821720,126849125,ENSMUST00000205002.2,Ndufa9,protein_coding,0.832,0.112704181
32_ID,chr8,121531813,121544320,ENSMUST00000182460.1,1700018B08Rik,protein_coding,0.9971,chr8,119910840,124345722,ENSMUST00000127664.1,Galnt2l,protein_coding,0.7074,-0.161172815
33_ID,chr5,145042989,145045681,ENSMUST00000031624.4,1700018F24Rik,protein_coding,0.9637,chr5,145007277,145084030,ENSMUST00000151196.1,Kpna7,protein_coding,0.986,0.285454155
34_ID,chr6,5963908,5977393,ENSMUST00000130004.1,1700019G24Rik,antisense,0.9553,chr6,5725638,6028039,ENSMUST00000115556.7,Dync1i1,protein_coding,0.9832,-0.023274659
