pairid,geneChr_Nested,geneStart_Nested,geneEnd_Nested,ENST_Nested,SYMBOL_Nested,biotype_Nested,tau_value_nested,geneChr_Host,geneStart_Host,geneEnd_Host,ENST_Host,SYMBOL_Host,biotype_Host,tau_value_host,spearman_correlation
1_ID,chr19,58859083,58866821,ENST00000670460.1_1,A1BG-AS1,lncRNA,0.7348,chr19,58858219,58867591,ENST00000600123.5_4,AC012313.3,lncRNA,1,0.344104982
2_ID,chr12,8972411,8973309,ENST00000394240.3_3,A2ML1-AS2,lncRNA,0.9153,chr12,8928814,8983543,ENST00000537288.1_3,A2ML1-AS1,lncRNA,0.9774,-0.164784758
3_ID,chr17,31856805,31860779,ENST00000579745.1_3,AA06,lncRNA,0.9644,chr17,31340104,32484313,ENST00000359872.6_4,ASIC2,protein_coding,0.9587,0.149478918
4_ID,chr3,151531903,151546276,ENST00000232892.12_4,AADAC,protein_coding,0.8557,chr3,151469230,151645956,ENST00000483843.6_3,AADACL2-AS1,lncRNA,0.96,0.4517287
5_ID,chr6,44266467,44281084,ENST00000244571.5_4,AARS2,protein_coding,0.7233,chr6,44240930,44346694,ENST00000505802.1_3,AL353588.1,nonsense_mediated_decay,0.7519,0.60990594
6_ID,chr14,106663420,106663529,ENST00000408253.1,AB019440.1,miRNA,NA,chr14,106663245,106665214,ENST00000605005.1_1,AC247036.1,lncRNA,NA,NA
7_ID,chr20,30309309,30311212,ENST00000629058.1_1,ABALON,lncRNA,0.8698,chr20,30252265,30311792,ENST00000420488.6_5,BCL2L1,protein_coding,0.8094,0.190212477
8_ID,chr3,183724125,183729207,ENST00000422946.1_1,ABCC5-AS1,lncRNA,0.8295,chr3,183637725,183735727,ENST00000265586.10_3,ABCC5,protein_coding,0.8853,0.061275649
9_ID,chr14,51338770,51371688,ENST00000337334.7_3,ABHD12B,protein_coding,0.9262,chr14,51324608,51411174,ENST00000532462.5_3,PYGL,protein_coding,0.9593,0.002902443
10_ID,chr3,52005441,52014490,ENST00000497864.5_2,ABHD14A,protein_coding,0,chr3,52002525,52017425,ENST00000483233.5_3,ABHD14B,protein_coding,0.8598,NA
11_ID,chr20,62492850,62494341,ENST00000369916.5_2,ABHD16B,protein_coding,0.9843,chr20,62492564,62495646,ENST00000601296.2_2,AL118506.1,lncRNA,0.7506,0.057602372
12_ID,chr17,9974206,9974321,ENST00000408559.1,AC000003.1,miRNA,NA,chr17,9813922,10101923,ENST00000432992.7_4,GAS7,protein_coding,NA,NA
13_ID,chr22,23478806,23478897,ENST00000408142.1,AC000029.1,miRNA,NA,chr22,23401592,23484177,ENST00000216036.9_4,RSPH14,protein_coding,NA,NA
14_ID,chr1,110235738,110236364,ENST00000562538.1_3,AC000032.1,lncRNA,0.9454,chr1,110230435,110251661,ENST00000490021.2_1,GSTM1,processed_transcript,0.9705,0.693817839
15_ID,chr1,110235738,110236364,ENST00000562538.1_3,AC000032.1,lncRNA,0.9454,chr1,110210643,110252171,ENST00000369831.6_1,GSTM2,protein_coding,0.7836,0.315255714
16_ID,chr22,29876208,29877102,ENST00000634116.1_4,AC000035.1,lncRNA,0,chr22,29876206,29887379,ENST00000310624.7_2,NEFH,protein_coding,0.8959,NA
17_ID,chr7,117244844,117287469,ENST00000456270.1_3,AC000061.1,lncRNA,0.9472,chr7,117120078,117308719,ENST00000003084.11_2,CFTR,protein_coding,0.9335,0.352536829
18_ID,chr7,92282668,92296397,ENST00000653602.1_1,AC000065.1,lncRNA,0.8471,chr7,92234234,92465887,ENST00000424848.3_4,CDK6,protein_coding,0.7416,0.183427364
19_ID,chr7,92267511,92271630,ENST00000661747.1_3,AC000065.2,lncRNA,0.9685,chr7,92234234,92465887,ENST00000424848.3_4,CDK6,protein_coding,0.7416,0.436971969
20_ID,chr22,19444025,19444485,ENST00000608816.1_1,AC000068.2,lncRNA,0.859,chr22,19437433,19466716,ENST00000263202.15_4,UFD1,protein_coding,0.7539,0.313360195
21_ID,chr22,19441701,19442128,ENST00000607934.1_1,AC000068.3,lncRNA,0.8378,chr22,19437433,19466716,ENST00000263202.15_4,UFD1,protein_coding,0.7539,0.22544493
22_ID,chr22,19183912,19187594,ENST00000658236.1_1,AC000072.1,lncRNA,0.8868,chr22,19166985,19279242,ENST00000427926.6_5,CLTCL1,protein_coding,0.9497,0.547879607
23_ID,chr7,91829327,91836171,ENST00000414227.1_3,AC000120.1,lncRNA,0.6656,chr7,91828282,91875414,ENST00000394507.5_5,KRIT1,protein_coding,0.6964,0.238582582
24_ID,chr7,91829327,91836171,ENST00000414227.1_3,AC000120.1,lncRNA,0.6656,chr7,91761087,91875238,ENST00000650585.1_3,AC000120.3,protein_coding,0.8784,0.153540815
25_ID,chr7,126990181,126991577,ENST00000418215.1_1,AC000123.1,lncRNA,0.7338,chr7,126986843,127013619,ENST00000485577.1_3,ZNF800,processed_transcript,0.6605,0.231379731
26_ID,chr13,77602078,77602617,ENST00000620512.1_1,AC001226.1,lncRNA,0.8383,chr13,77600901,77652086,ENST00000636737.1_2,MYCBP2-AS1,lncRNA,0.8339,0.081378239
27_ID,chr16,73048217,73048375,ENST00000606707.1_1,AC002044.1,lncRNA,0.8525,chr16,72816783,73925770,ENST00000641206.2_5,ZFHX3,protein_coding,0.9246,-0.160257663
28_ID,chr22,51179020,51181948,ENST00000532913.1_3,AC002056.2,lncRNA,0.8863,chr22,51176631,51183767,ENST00000216139.10_2,ACR,protein_coding,0.9826,0.578323273
29_ID,chr7,126173718,126177349,ENST00000660824.1_1,AC002057.1,lncRNA,0.9656,chr7,126078651,126892995,ENST00000339582.7_4,GRM8,protein_coding,0.95,-0.168391097
30_ID,chr7,126135365,126171390,ENST00000657493.1_1,AC002057.2,lncRNA,0.9348,chr7,126078651,126892995,ENST00000339582.7_4,GRM8,protein_coding,0.95,0.019914586
31_ID,chr22,29712732,29713209,ENST00000608014.1_1,AC002059.1,lncRNA,0.8032,chr22,29709491,29715668,ENST00000608559.1_3,RASL10A,processed_transcript,0.8648,0.35691258
32_ID,chr7,89895347,89899530,ENST00000420245.1_3,AC002064.2,lncRNA,0.8165,chr7,89874487,89940377,ENST00000389297.8_3,CFAP69,protein_coding,0.6759,0.3128654
33_ID,chr7,115985908,115985998,ENST00000401257.1,AC002066.2,miRNA,NA,chr7,115878313,116139519,ENST00000446355.2_3,AC002066.1,lncRNA,NA,NA
34_ID,chr7,115985908,115985998,ENST00000401257.1,AC002066.2,miRNA,NA,chr7,115928126,116146162,ENST00000472470.5_1,CAV2,processed_transcript,NA,NA
35_ID,chr7,93940449,93976375,ENST00000649265.1_1,AC002074.2,lncRNA,0.9605,chr7,93907991,94021508,ENST00000642601.1_3,AC002074.1,lncRNA,0.7207,0.355909258
36_ID,chr17,26688622,26689881,ENST00000577850.1_3,AC002094.2,lncRNA,0.9109,chr17,26684669,26708716,ENST00000591482.1_1,AC002094.1,lncRNA,0.9464,-0.378861744
37_ID,chr17,26688622,26689881,ENST00000577850.1_3,AC002094.2,lncRNA,0.9109,chr17,26684669,26690705,ENST00000292114.8_2,TMEM199,protein_coding,0.4267,0.092241847
38_ID,chr17,26691309,26695033,ENST00000555059.2_5,AC002094.3,protein_coding,0.9428,chr17,26684669,26708716,ENST00000591482.1_1,AC002094.1,lncRNA,0.9464,0.027698413
39_ID,chr17,26700274,26700581,ENST00000613598.1_1,AC002094.4,lncRNA,0.8428,chr17,26684669,26708716,ENST00000591482.1_1,AC002094.1,lncRNA,0.9464,-0.137516802
40_ID,chr17,26700274,26700581,ENST00000613598.1_1,AC002094.4,lncRNA,0.8428,chr17,26691377,26725151,ENST00000379061.8_2,SARM1,processed_transcript,0.9673,-0.086003434
41_ID,chr19,35753748,35755707,ENST00000602262.1_1,AC002128.1,lncRNA,0.7813,chr19,35739294,35758865,ENST00000602122.5_1,LSR,protein_coding,0.8241,0.15630706
42_ID,chr19,35742342,35744542,ENST00000604161.1_3,AC002128.2,lncRNA,0.7599,chr19,35739294,35758865,ENST00000602122.5_1,LSR,protein_coding,0.8241,0.348385818
43_ID,chr19,19717158,19719469,ENST00000559614.2_1,AC002306.1,lncRNA,0.8182,chr19,19672515,19729502,ENST00000557978.6_3,PBX4,nonsense_mediated_decay,0.8022,-0.014103968
44_ID,chr17,10584050,10587305,ENST00000584139.1_1,AC002347.2,lncRNA,0.9039,chr17,10575790,10600850,ENST00000255390.10_4,SCO1,protein_coding,0.5905,0.049900094
45_ID,chr12,111389486,111395616,ENST00000546852.5_3,AC002351.1,lncRNA,0.9552,chr12,111374381,111396897,ENST00000553177.6_4,LINC01405,lncRNA,0.9627,0.511118234
46_ID,chr12,111925281,111925382,ENST00000581907.1,AC002395.1,miRNA,NA,chr12,111881288,112036926,ENST00000642389.2_4,ATXN2,nonsense_mediated_decay,NA,NA
47_ID,chr17,48212950,48223541,ENST00000451776.1_1,AC002401.1,lncRNA,0.9201,chr17,48211100,48228038,ENST00000612501.2_4,PPP1R9B,protein_coding,0.7888,0.218431436
48_ID,chr17,48178067,48179284,ENST00000511361.1_3,AC002401.2,lncRNA,0.8314,chr17,48172714,48189516,ENST00000503176.6_2,PDK2,protein_coding,0.8877,-0.125628656
49_ID,chr17,48175823,48176263,ENST00000620020.1_1,AC002401.3,lncRNA,0.704,chr17,48172714,48189516,ENST00000503176.6_2,PDK2,protein_coding,0.8877,-0.191991564
50_ID,chr7,90219936,90226667,ENST00000412669.1_4,AC002456.1,lncRNA,0.8343,chr7,90095737,90419943,ENST00000449528.5_3,CDK14,protein_coding,0.878,0.317584256
51_ID,chr7,90098952,90142711,ENST00000509356.2_2,AC002456.2,protein_coding,0.9754,chr7,90095737,90419943,ENST00000449528.5_3,CDK14,protein_coding,0.878,0.355911134
52_ID,chr7,90098952,90142711,ENST00000509356.2_2,AC002456.2,protein_coding,0.9754,chr7,90034894,90142716,ENST00000451941.6_1,CLDN12,processed_transcript,0.8387,0.309454348
53_ID,chr7,90659463,90663040,ENST00000664362.1_3,AC002458.1,lncRNA,0.9575,chr7,90225634,90839905,ENST00000380050.8_3,CDK14,protein_coding,0.7291,0.32490155
54_ID,chr4,149862092,149863530,ENST00000504394.1_3,AC002460.1,lncRNA,0.9752,chr4,149366918,149945776,ENST00000661928.1_1,AC002460.2,lncRNA,0.7964,0.455649764
55_ID,chr7,116972814,116990150,ENST00000667297.1_2,AC002465.1,lncRNA,1,chr7,116927173,117188729,ENST00000673785.1_3,CFTR,protein_coding,0.951,0.449654245
56_ID,chr22,21335649,21336044,ENST00000610278.1_1,AC002470.1,lncRNA,0.7418,chr22,21333750,21352410,ENST00000479606.5_2,AC002470.2,lncRNA,0.8237,0.390466042
57_ID,chrX,119058423,119058513,ENST00000581061.1,AC002477.1,miRNA,NA,chrX,119054634,119077714,ENST00000371410.5_5,NKAP,protein_coding,NA,NA
58_ID,chr7,22602955,22613615,ENST00000435127.1_1,AC002480.1,lncRNA,0.8673,chr7,22532295,22672544,ENST00000439708.1_4,STEAP1B,protein_coding,0.9435,0.024590756
59_ID,chr7,22629316,22642155,ENST00000658234.1_1,AC002480.2,lncRNA,0.7099,chr7,22611282,22767232,ENST00000650428.1_3,STEAP1B,processed_transcript,0.9394,-0.001379012
60_ID,chr16,31799522,31802314,ENST00000570073.2_1,AC002519.1,lncRNA,0.8077,chr16,31724567,31806190,ENST00000531864.6_1,ZNF720,processed_transcript,0.8695,0.003663004
61_ID,chr7,116731731,116737316,ENST00000665127.1_3,AC002542.6,lncRNA,0.9274,chr7,116593291,116870150,ENST00000393446.6_6,ST7,protein_coding,0.9843,-0.144696165
